ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-8.990600129
Above Harvell Dam,1342,smb_adult,MAF,-0.993673201
Above Harvell Dam,1342,smb_spawn,MAF,44.40637521
Above Harvell Dam,1342,rbs_spawn,MAF,26.71197256
Above Harvell Dam,1342,nh_adult,MAF,-36.79401599
Above Harvell Dam,1342,nh_spawn,MAF,-32.91401248
Above Harvell Dam,1342,bd_high_grad,MAF,-1.623868917
Above Harvell Dam,1342,bd_low_grad,MAF,10.13018353
Above Harvell Dam,1342,shallow_slow,MAF,18.55845705
Above Harvell Dam,1342,shallow_fast,MAF,-19.8737077
Above Harvell Dam,1342,deep_slow,MAF,-6.374427175
Above Harvell Dam,1342,deep_fast,MAF,-20.98955765
Above Harvell Dam,1342,as_spawn,MAF,-79.29203689
Above Harvell Dam,1342,as_juv,MAF,-3.973377988
Above Harvell Dam,1342,l_rad,MAF,-48.98993093
Above Harvell Dam,1342,e_comp,MAF,-39.63690785
Above Harvell Dam,1342,rh_spawn,MAF,-3.526685579
Above Harvell Dam,1342,smb_juv,Jan,-5.370181662
Above Harvell Dam,1342,smb_adult,Jan,3.290176392
Above Harvell Dam,1342,smb_spawn,Jan,64.97156364
Above Harvell Dam,1342,rbs_spawn,Jan,41.76109939
Above Harvell Dam,1342,nh_adult,Jan,-37.73899383
Above Harvell Dam,1342,nh_spawn,Jan,-33.93576913
Above Harvell Dam,1342,bd_high_grad,Jan,35.27143643
Above Harvell Dam,1342,bd_low_grad,Jan,40.33038557
Above Harvell Dam,1342,shallow_slow,Jan,85.26542766
Above Harvell Dam,1342,shallow_fast,Jan,14.32556687
Above Harvell Dam,1342,deep_slow,Jan,-2.731561735
Above Harvell Dam,1342,deep_fast,Jan,-6.155187902
Above Harvell Dam,1342,as_spawn,Jan,-60.11828229
Above Harvell Dam,1342,as_juv,Jan,-1.650605441
Above Harvell Dam,1342,l_rad,Jan,-49.63028288
Above Harvell Dam,1342,e_comp,Jan,-32.57050699
Above Harvell Dam,1342,rh_spawn,Jan,-1.527437763
Above Harvell Dam,1342,smb_juv,Feb,-4.622690991
Above Harvell Dam,1342,smb_adult,Feb,4.53603841
Above Harvell Dam,1342,smb_spawn,Feb,71.47074339
Above Harvell Dam,1342,rbs_spawn,Feb,45.61225518
Above Harvell Dam,1342,nh_adult,Feb,-37.63821357
Above Harvell Dam,1342,nh_spawn,Feb,-34.67045337
Above Harvell Dam,1342,bd_high_grad,Feb,54.16309183
Above Harvell Dam,1342,bd_low_grad,Feb,46.50325856
Above Harvell Dam,1342,shallow_slow,Feb,101.7537253
Above Harvell Dam,1342,shallow_fast,Feb,21.89772139
Above Harvell Dam,1342,deep_slow,Feb,-1.782673723
Above Harvell Dam,1342,deep_fast,Feb,-4.874497015
Above Harvell Dam,1342,as_spawn,Feb,-58.72811029
Above Harvell Dam,1342,as_juv,Feb,-1.184218934
Above Harvell Dam,1342,l_rad,Feb,-49.27371425
Above Harvell Dam,1342,e_comp,Feb,-30.99943209
Above Harvell Dam,1342,rh_spawn,Feb,-1.060400492
Above Harvell Dam,1342,smb_juv,Mar,-4.068940338
Above Harvell Dam,1342,smb_adult,Mar,5.259729754
Above Harvell Dam,1342,smb_spawn,Mar,74.49399524
Above Harvell Dam,1342,rbs_spawn,Mar,48.07505654
Above Harvell Dam,1342,nh_adult,Mar,-37.625997
Above Harvell Dam,1342,nh_spawn,Mar,-34.6967853
Above Harvell Dam,1342,bd_high_grad,Mar,62.3627613
Above Harvell Dam,1342,bd_low_grad,Mar,50.35251838
Above Harvell Dam,1342,shallow_slow,Mar,110.1419365
Above Harvell Dam,1342,shallow_fast,Mar,27.31050493
Above Harvell Dam,1342,deep_slow,Mar,-1.000318362
Above Harvell Dam,1342,deep_fast,Mar,-3.713535876
Above Harvell Dam,1342,as_spawn,Mar,-57.67549237
Above Harvell Dam,1342,as_juv,Mar,-0.837459235
Above Harvell Dam,1342,l_rad,Mar,-48.48507498
Above Harvell Dam,1342,e_comp,Mar,-29.76395574
Above Harvell Dam,1342,rh_spawn,Mar,-0.736281616
Above Harvell Dam,1342,smb_juv,Apr,-3.339144376
Above Harvell Dam,1342,smb_adult,Apr,6.227855776
Above Harvell Dam,1342,smb_spawn,Apr,78.89480372
Above Harvell Dam,1342,rbs_spawn,Apr,51.57539435
Above Harvell Dam,1342,nh_adult,Apr,-37.45573334
Above Harvell Dam,1342,nh_spawn,Apr,-36.9951822
Above Harvell Dam,1342,bd_high_grad,Apr,74.39941495
Above Harvell Dam,1342,bd_low_grad,Apr,55.92848838
Above Harvell Dam,1342,shallow_slow,Apr,123.0509346
Above Harvell Dam,1342,shallow_fast,Apr,35.11206617
Above Harvell Dam,1342,deep_slow,Apr,0.039170625
Above Harvell Dam,1342,deep_fast,Apr,-2.167346923
Above Harvell Dam,1342,as_spawn,Apr,-56.44357307
Above Harvell Dam,1342,as_juv,Apr,-0.379648672
Above Harvell Dam,1342,l_rad,Apr,-47.69081756
Above Harvell Dam,1342,e_comp,Apr,-28.19319335
Above Harvell Dam,1342,rh_spawn,Apr,-0.308378304
Above Harvell Dam,1342,smb_juv,May,-5.972369231
Above Harvell Dam,1342,smb_adult,May,2.450647686
Above Harvell Dam,1342,smb_spawn,May,61.33313274
Above Harvell Dam,1342,rbs_spawn,May,39.59962651
Above Harvell Dam,1342,nh_adult,May,-37.90820676
Above Harvell Dam,1342,nh_spawn,May,-33.17149454
Above Harvell Dam,1342,bd_high_grad,May,15.91601543
Above Harvell Dam,1342,bd_low_grad,May,34.45971759
Above Harvell Dam,1342,shallow_slow,May,63.02086129
Above Harvell Dam,1342,shallow_fast,May,6.603478513
