s_adminid,s_ftype,,s_fstatus,s_admincode,in_dataset_tag,in_timespan,in_xvar,in_yvar,in_sampres,in_quantile,in_station_agg,in_glo,in_ghi,containing_hydrocode,out_p,out_n,out_rsq,out_rsq_adj,out_m,out_b,out_breakpoint,isheadwater,huc8,IFIM study HUC8,River name or region,IFIM site name(s),Drainage area mi2,MAF,s_name
399237,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,0.0006,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Rt 648,743.1,674.1,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399237,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,0.0006,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Spring Hollow,695.1,630.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399237,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,0.0006,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Laurel Hill,654.1,591.9,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399237,fe_quantreg,,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,0.0006,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Plains Mill,331.6,315,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399261,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070008,0,34,0.7394,0.7312,0.5012,1.2292,530,1,2070008,2070008,Middle Potomac,T11&12,11532.8,12816.6,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399261,fe_quantreg,,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070008,0,34,0.7394,0.7312,0.5012,1.2292,530,1,2070008,2070008,Middle Potomac, T8&9,11515.8,12744.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399267,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,0.000003,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Maury,668.4,768.1,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399267,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,0.000003,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Craig,312.9,410.8,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399267,fe_quantreg,,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,0.000003,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Dunlap,164.5,193.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399248,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070005,0.0028,29,0.2856,0.2591,0.294,1.2973,530,1,2070005,2070005,SF IFIM,Front Royal,1548.7,1712.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
399248,fe_quantreg,,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070005,0.0028,29,0.2856,0.2591,0.294,1.2973,530,1,2070005,2070005,SF IFIM,Luray,1332.5,1483,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%
