s_adminid,s_ftype,X,s_fstatus,s_admincode,in_dataset_tag,in_timespan,in_xvar,in_yvar,in_sampres,in_quantile,in_station_agg,in_glo,in_ghi,containing_hydrocode,out_p,out_n,out_rsq,out_rsq_adj,out_m,out_b,out_breakpoint,isheadwater,huc8,IFIM.study.HUC8,River.name.or.region,IFIM.site.name.s.,Drainage.area.mi2,MAF,s_name,nt_numblost_10pct,nt_numblost_20pct,nt_numblost_30pct,nt_numblost_40pct,nt_numblost_50pct,nt_pctlost_10pct,nt_pctlost_20pct,nt_pctlost_30pct,nt_pctlost_40pct,nt_pctlost_50pct
399237,fe_quantreg,NA,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,6.00E-04,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Rt 648,743.1,674.1,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.056831462,0.120363632,0.192390465,0.275539341,0.373883589,1.377726956,2.917894658,4.663992786,6.679715142,9.063808671
399237,fe_quantreg,NA,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,6.00E-04,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Spring Hollow,695.1,630.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.056831462,0.120363632,0.192390465,0.275539341,0.373883589,1.389821242,2.943509205,4.704935341,6.738352584,9.143374721
399237,fe_quantreg,NA,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,6.00E-04,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Laurel Hill,654.1,591.9,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.056831462,0.120363632,0.192390465,0.275539341,0.373883589,1.401559831,2.96837042,4.744673762,6.795265479,9.220600708
399237,fe_quantreg,NA,active,74542_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070006,6.00E-04,9,0.8357,0.8122,0.5394,0.6117,530,1,2070006,2070006,NF IFIM,Plains Mill,331.6,315,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.056831462,0.120363632,0.192390465,0.275539341,0.373883589,1.52993285,3.240252264,5.179252494,7.417663985,10.06514286
399261,fe_quantreg,NA,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070008,0,34,0.7394,0.7312,0.5012,1.2292,530,1,2070008,2070008,Middle Potomac,T11&12,11532.8,12816.6,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.05280669,0.111839548,0.178765482,0.256025803,0.347405367,0.884564043,1.873422513,2.994497783,4.288684204,5.819381852
399261,fe_quantreg,NA,active,74561_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070008,0,34,0.7394,0.7312,0.5012,1.2292,530,1,2070008,2070008,Middle Potomac, T8&9,11515.8,12744.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.05280669,0.111839548,0.178765482,0.256025803,0.347405367,0.884984364,1.874312711,2.995920685,4.290722068,5.82214706
399267,fe_quantreg,NA,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,3.00E-06,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Maury,668.4,768.1,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.02294752,0.048600665,0.077683803,0.111257821,0.150967456,0.486656154,1.030691447,1.647467794,2.359483832,3.201620063
399267,fe_quantreg,NA,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,3.00E-06,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Craig,312.9,410.8,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.02294752,0.048600665,0.077683803,0.111257821,0.150967456,0.501142211,1.06137154,1.696507169,2.429717443,3.296921135
399267,fe_quantreg,NA,active,74553_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02080201,3.00E-06,59,0.3197,0.3078,0.2178,3.2683,530,1,2080201,2080201,upper james,Dunlap,164.5,193.3,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.02294752,0.048600665,0.077683803,0.111257821,0.150967456,0.519780034,1.100844675,1.759601434,2.520080301,3.419535893
399248,fe_quantreg,NA,active,74547_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_benins,species,0.8,max,0,530,nhd_huc8_02070005,0.0028,29,0.2856,0.2591,0.294,1.2973,530,1,2070005,2070005,SF IFIM,Front Royal,1548.7,1712.7,Quantile Regression_ aqbio_nt_benins = f( erom_q0001e_apr )_ upper 80%,0.030975992,0.065604204,0.104862434,0.150182733,0.203785271,0.888487608,1.881732249,3.007780151,4.307707054,5.845194251
